STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/ˌædəˈlesnt/	adolescent	Trẻ vị thành niên	Parents, teachers, and anyone who regularly deals with teenagers knows how difficult the adolescent years can be.\nCha mẹ, thầy cô, và bất cứ ai thường xuyên tiếp xúc với trẻ vị thành niên đều biết những năm tháng tuổi trẻ có thể khó khăn đến thế nào.	3	Reading Explorer B2
2	/tiːn/	teen	Thanh thiếu niên	Researchers found that when teens think about rewards, their brains release more of the chemicals that create pleasure.\nCác nhà nghiên cứu nhận thấy rằng khi thanh thiếu niên nghĩ về phần thưởng, não bộ của họ giải phóng nhiều chất tạo cảm giác hưng phấn hơn.	3	Reading Explorer B2
3	/ˈfʊli/	fully	Hoàn toàn, đầy đủ	Though our brains are almost at their full size by the age of six, they are far from fully developed.\nMặc dù não bộ của chúng ta gần như đạt kích thước tối đa vào năm sáu tuổi, nhưng chúng còn lâu mới phát triển hoàn thiện.	3	Reading Explorer B2
4	/ˈtruːli/	truly	Thực sự	Only during adolescence do our brains truly "grow up."\nChỉ đến thời kỳ vị thành niên, não bộ của chúng ta mới thực sự "trưởng thành".	3	Reading Explorer B2
5	/ˌʌpˈɡreɪd/	upgrade	Nâng cấp	During this time, they go through great changes, like a computer system being upgraded.\nTrong thời gian này, chúng (não bộ) trải qua những thay đổi lớn, giống như một hệ thống máy tính đang được nâng cấp.	3	Reading Explorer B2
6	/ˈsiːkə(r)/	seeker	Người tìm kiếm	Pleasure Seekers.\nNhững người đi tìm sự khoái lạc.	3	Reading Explorer B2
7	/ɪnˈspaɪə(r)/	inspire	Thôi thúc, truyền cảm hứng	The teen brain inspires such behavior in order to help teenagers prepare for adult life.\nNão bộ thanh thiếu niên thôi thúc những hành vi như vậy nhằm giúp các em chuẩn bị cho cuộc sống trưởng thành.	3	Reading Explorer B2
8	/rɪˈwɔːd/	reward	Phần thưởng	One way the brain does this is by changing the way teens measure risk and reward.\nMột cách mà não bộ thực hiện việc này là thay đổi cách thanh thiếu niên đánh giá rủi ro và phần thưởng.	3	Reading Explorer B2
9	/ɪnˈtens/	intense	Mãnh liệt, dữ dội	As such, teens have an intense need to meet new people.\nVì thế, thanh thiếu niên có nhu cầu mãnh liệt được gặp gỡ những người bạn mới.	3	Reading Explorer B2
10	/pɪə(r)/	peer	Bạn đồng lứa	Scientists suggest this is because as teens, we begin to realize that our peers may one day control the world we live in.\nCác nhà khoa học cho rằng điều này là do khi còn trẻ, chúng ta bắt đầu nhận ra rằng bạn bè đồng lứa một ngày nào đó có thể sẽ nắm quyền điều hành thế giới ta đang sống.	3	Reading Explorer B2
11	/ˈfaɪndɪŋ/	finding	Kết quả, phát hiện	The scientists' findings suggest that in the long run, the impulses of the teen brain are what help teens live their own lives successfully.\nNhững phát hiện của các nhà khoa học chỉ ra rằng về lâu dài, những xung động của não bộ thanh thiếu niên chính là thứ giúp các em sống cuộc đời tự lập thành công.	3	Reading Explorer B2
12	/aɪˈdentɪkl/	identical	Giống hệt nhau	Many scientists once believed that physical similarities between identical twins are genetic.\nNhiều nhà khoa học từng tin rằng sự giống nhau về thể chất giữa các cặp song sinh cùng trứng là do di truyền.	3	Reading Explorer B2
13	/dʒəˈnetɪk/	genetic	Thuộc về di truyền	Physical similarities between identical twins are genetic.\nNhững điểm tương đồng về thể chất giữa các cặp song sinh cùng trứng có tính di truyền.	3	Reading Explorer B2
14	/ˈbaʊndri/	boundary	Ranh giới	Scientists are now discovering that the boundaries between genetics and environment are not so clear after all.\nCác nhà khoa học hiện đang phát hiện ra rằng ranh giới giữa di truyền và môi trường rốt cuộc không hề rõ ràng như ta tưởng.	3	Reading Explorer B2
15	/əˈdɒpt/	adopt	Nhận nuôi	Identical twins Jim Springer and Jim Lewis were adopted as babies and raised by different couples.\nCặp song sinh cùng trứng Jim Springer và Jim Lewis được nhận nuôi từ khi còn bé và được nuôi dưỡng bởi hai cặp vợ chồng khác nhau.	3	Reading Explorer B2
16	/saɪˈkɒlədʒɪst/	psychologist	Nhà tâm lý học	When psychologist Thomas Bouchard Jr. invited the Jim twins to his lab, his colleagues found it very hard to tell them apart.\nKhi nhà tâm lý học Thomas Bouchard Jr. mời anh em nhà Jim đến phòng thí nghiệm, các đồng nghiệp của ông đã thấy rất khó để phân biệt được họ.	3	Reading Explorer B2
17	/sɪˈvɪə(r)/	severe	Nghiêm trọng, dữ dội	They had both been sheriffs, enjoyed making things with wood, suffered severe headaches.\nCả hai đều từng làm cảnh sát trưởng, thích làm đồ gỗ và đều phải chịu đựng những cơn đau đầu dữ dội.	3	Reading Explorer B2
18	/kəʊˈɪnsɪdəns/	coincidence	Sự trùng hợp	It seemed unlikely these were just coincidences.\nCó vẻ như không thể nào những điều này chỉ đơn thuần là sự trùng hợp ngẫu nhiên.	3	Reading Explorer B2
19	/dʒiːn/	gene	Gen	However, genes can't control everything, argues geneticist Danielle Reed.\nTuy nhiên, nhà di truyền học Danielle Reed lập luận rằng gen không thể kiểm soát tất cả mọi thứ.	3	Reading Explorer B2
