STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/ˈpɜːrtʃəs/	purchase	Mua	When you purchase fresh-cut flowers, do you think about where they came from?\nKhi bạn mua những bông hoa mới cắt, bạn có nghĩ chúng đến từ đâu không?	1	Reading Explorer B2
2	/əˈsuːm/	assume	Cho rằng, giả định	You might assume they were grown somewhere nearby.\nBạn có thể cho rằng chúng được trồng ở đâu đó gần đây.	1	Reading Explorer B2
3	/ˈnɪrbaɪ/	nearby	Gần, lân cận	You might assume they were grown somewhere nearby.\nBạn có thể cho rằng chúng được trồng ở một nơi gần đó.	1	Reading Explorer B2
4	/ɪnˈkriːsɪŋli/	increasingly	Ngày càng	The cut flower trade is increasingly international.\nNgành kinh doanh hoa cắt cành ngày càng mang tính quốc tế.	1	Reading Explorer B2
5	/ˈdɑːməneɪt/	dominate	Chi phối, thống trị	The Netherlands has dominated the world cut flower trade since the 1970s.\nHà Lan đã thống trị thị trường hoa cắt cành thế giới từ những năm 1970.	1	Reading Explorer B2
6	/ˈhændl/	handle	Đảm nhiệm, xử lý	It handles about 50 percent of the world's cut flowers.\nNước này xử lý khoảng 50% lượng hoa cắt cành của thế giới.	1	Reading Explorer B2
7	/ˈɔːkʃən/	auction	Đấu giá	And its auction houses are very large indeed.\nVà các nhà đấu giá của nước này thực sự rất lớn.	1	Reading Explorer B2
8	/kənˈsɪdərəbəl/	considerable	Đáng kể	Dutch companies and the government invest a considerable amount of money in flower research.\nCác công ty Hà Lan và chính phủ đầu tư một khoản tiền đáng kể vào nghiên cứu hoa.	1	Reading Explorer B2
9	/ˈstreŋθən/	strengthen	Tăng cường, làm mạnh hơn	Their scientists look for ways to strengthen flowers to prevent them from being damaged.\nCác nhà khoa học tìm cách làm hoa cứng cáp hơn để tránh hư hỏng.	1	Reading Explorer B2
10	/prɪˈdɪktəbəl/	predictable	Có thể dự đoán được	With predictable rainy periods and 12 hours of sunlight each day.\nVới những mùa mưa có thể dự đoán và 12 giờ nắng mỗi ngày.	1	Reading Explorer B2
11	/ˈlɑːrdʒli/	largely	Phần lớn, chủ yếu	Her father's prediction has largely come true.\nDự đoán của cha cô ấy phần lớn đã trở thành sự thật.	1	Reading Explorer B2
12	/ˈdelɪkət/	delicate	Mong manh, dễ hỏng	Even the most delicate flower can be exported.\nNgay cả những bông hoa mong manh nhất cũng có thể được xuất khẩu.	1	Reading Explorer B2
13	/ˈdɑːmɪnəns/	dominance	Sự thống trị	Despite the Netherlands' dominance of the flower market.\nBất chấp sự thống trị của Hà Lan trên thị trường hoa.	1	Reading Explorer B2
14	/stem/	stems	Thân (hoa)	Ecuador's roses are known for their large heads and long, straight stems.\nHoa hồng Ecuador nổi tiếng với bông to và thân dài, thẳng.	1	Reading Explorer B2
15	/dʒɔɪ/	joy	Niềm vui	Joy or Pleasure, for example.\nVí dụ như Joy hay Pleasure.	1	Reading Explorer B2
16	/ˈdiːpli/	deeply	Sâu sắc	use scents that touch us deeply.\nSử dụng những mùi hương chạm đến cảm xúc sâu sắc của chúng ta.	1	Reading Explorer B2
17	/dɪˈraɪv/	derive	Bắt nguồn từ	Some are natural, and often derived from flowers and plants.\nMột số có nguồn gốc tự nhiên, thường được chiết xuất từ hoa và thực vật.	1	Reading Explorer B2
18	/ˈrɪski/	risky	Rủi ro	It's a risky business.\nĐó là một lĩnh vực kinh doanh đầy rủi ro.	1	Reading Explorer B2
19	/ˈbʌdʒɪt/	budget	Ngân sách	A company introducing a new scent can easily run through a budget of 20 million dollars.\nMột công ty tung ra mùi hương mới có thể dễ dàng tiêu tốn ngân sách 20 triệu đô.	1	Reading Explorer B2
20	/dɪˈspleɪ/	display	Trưng bày	Famous perfumes are displayed and guarded like works of art.\nNhững loại nước hoa nổi tiếng được trưng bày và bảo vệ như tác phẩm nghệ thuật.	1	Reading Explorer B2
21	/ʃeɪp/	shape	Định hình	Each type of perfume is sold in a distinctively shaped bottle.\nMỗi loại nước hoa được bán trong một chai có hình dáng riêng biệt.	1	Reading Explorer B2
22	/ˈemfəsɪs/	emphasis	Sự nhấn mạnh	The emphasis is on presentation at least as much as on the product.\nSự nhấn mạnh vào hình thức không kém gì bản thân sản phẩm.	1	Reading Explorer B2
23	/prɪˈsiːdɪd/	preceded	Đi trước, mở đầu	Each preceded by advertisements and TV appearances.\nMỗi sản phẩm đều được mở đầu bằng quảng cáo và các lần xuất hiện trên TV.	1	Reading Explorer B2
24	/ˈesəns/	essence	Tinh chất, hương cốt lõi	An essence is a material with its own special aroma.\nTinh chất là một chất có mùi hương đặc trưng riêng.	1	Reading Explorer B2
