STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/ˌʌndəˈteɪk/	undertake	Tiếp nhận/Tiếp quản	They made themselves useful to the Khan, and undertook various missions and tasks for him.\nHọ tự khiến bản thân trở nên hữu dụng trong mắt Khan và tiếp nhận rất nhiều nhiệm vụ cũng như công việc khác nhau cho ngài ấy.	2	Reading Explorer B2
2	/ˈmɪʃn/	mission	Nhiệm vụ/Sứ mệnh	They made themselves useful to the Khan, and undertook various missions and tasks for him.\nHọ tự khiến bản thân trở nên hữu dụng trong mắt Khan và tiếp nhận rất nhiều nhiệm vụ cũng như công việc khác nhau cho ngài ấy.	2	Reading Explorer B2
3	/ˈɒnə(r)/	honor	Vinh hạnh/Danh dự	It is likely that the Khan considered it an honor that these Europeans-who were rare in China-had made this extremely difficult journey...\nCó khả năng vị Khan xem đó là một vinh hạnh khi những người châu Âu này - những người hiếm khi xuất hiện ở Trung Quốc - đã thực hiện một chuyến hành trình vô cùng gian khổ này...	2	Reading Explorer B2
4	/ˈtreʒə(r)/	treasure	Kho báu/Báu vật	While he was in the service of Kublai Khan, "the most powerful man in people and in lands and in treasure that ever was in the world..."\nTrong khi phục vụ Kublai Khan, "người đàn ông quyền lực nhất về con người, đất đai và kho báu từng có trên thế giới..."	2	Reading Explorer B2
5	/brɔːd/	broad	Rộng lớn/Bao la	He admired the Khan's recently completed new capital-Daidu-whose streets were "so straight and so broad."\nÔng ngưỡng mộ thủ đô mới vừa hoàn thành của Khan - Đại Đô - nơi có những con đường "thật thẳng và thật rộng."	2	Reading Explorer B2
6	/pəˈsiːv/	perceive	Nhận thấy/Nhìn nhận	...and Kublai Khan's city planning can still be perceived in the straight, broad streets of China's modern capital.\n...và quy hoạch thành phố của Kublai Khan vẫn có thể được nhận thấy qua những con đường thẳng và rộng của thủ đô hiện đại Trung Quốc.	2	Reading Explorer B2
7	/ədˌmɪnɪˈstreɪʃn/	administration	Sự quản lý/Hành chính	We learn from Marco Polo that, in the administration of his empire, Kublai Khan made use of a fast and simple message system.\nChúng ta biết được từ Marco Polo rằng, trong việc quản lý đế quốc của mình, Kublai Khan đã sử dụng một hệ thống truyền tin nhanh chóng và đơn giản.	2	Reading Explorer B2
8	/ˈempaɪə(r)/	empire	Đế quốc/Đế chế	We learn from Marco Polo that, in the administration of his empire, Kublai Khan made use of a fast and simple message system.\nChúng ta biết được từ Marco Polo rằng, trong việc quản lý đế quốc của mình, Kublai Khan đã sử dụng một hệ thống truyền tin nhanh chóng và đơn giản.	2	Reading Explorer B2
9	/ˈmɪnərəl/	mineral	Khoáng chất/Khoáng sản	Also Marco learned the secret of asbestos cloth, which is made from a mineral and doesn't catch fire.\nMarco cũng biết được bí mật về vải amiăng, thứ được làm từ một loại khoáng sản và không bắt lửa.	2	Reading Explorer B2
10	/ˌɒbzəˈveɪʃn/	observation	Sự quan sát/Ghi nhận	Marco continued his observations while on the ocean voyage by way of Sumatra and India.\nMarco tiếp tục các quan sát của mình trong chuyến hải trình đi qua Sumatra và Ấn Độ.	2	Reading Explorer B2
