STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/tə bɪˈkʌm ə ˈɡləʊbl ˈsɪtɪzn/	To become a global citizen.	Trở thành công dân toàn cầu	Becoming a global citizen is a great positive of speaking asecond language.\nTrở thành công dân toàn cầu là một điều tích cực tuyệt vời của việc biết ngoại ngữ.	2	Từ vựng IELTS 8.0
2	/tə ˈʃɑːpən maɪ ˈmeməri/	To sharpen my memory.	Rèn luyện trí nhớ	Knowing a second language offers me numerous merits. Not only does it give me better job opportunities but it also sharpens my memory.\nBiết một ngôn ngữ thứ hai mang lại cho tôi rất nhiều giá trị. Nó không chỉ mang đến cho tôi những cơ hội việc làm tốt mà còn giúp tôi rèn luyện trí nhớ.	2	Từ vựng IELTS 8.0
3	/tə hæv ɡreɪt ɪkˈspəʊʒə tə ə ˈdɪfrənt ˈkʌltʃə/	To have great exposure to a different culture.	Tiếp xúc với một nền văn hóa khác	When acquiring a foreign language, we can have great exposure to a different culture.\nKhi học ngoại ngữ, chúng ta có cơ hội tiếp xúc với một nền văn hóa khác.	2	Từ vựng IELTS 8.0
4	/tə ədˈvɑːns maɪ kəˈrɪə/	To advance my career.	 Thăng tiến sự nghiệp	In the era of globalization, candidates who speak two languages or more would have more chances to advance their career compared to those who are monolingual.\nTrong thời đại toàn cầu hóa, những ứng viên nói được hai thứ tiếng trở lên sẽ có nhiểu cơ hội thăng tiến  hơn so với những ứng viên chỉ nói một thứ tiếng.	2	Từ vựng IELTS 8.0
5	/æt ən ˈɜːli eɪdʒ/	At an early age.	Khi còn nhỏ	It is scientifically proven that children learn a language better at an early age.\nKhoa học đã chứng minh rằng trẻ em học ngôn ngữ tốt hơn khi còn nhỏ.	2	Từ vựng IELTS 8.0
6	/tə faɪnd ðə ˈɑːnsə tə ˈkɒmpleks ˈprɒbləmz/	To find the answer to complex problems.	Tìm ra câu trả lời cho các vấn để phức tạp	Children learning an additional language are able to find the answer to complex problems and normally score higher in standardised tests.\n Trẻ em khi học ngoại ngữ có thể tìm ra câu trả lời cho các vấn để phức tạp và thường đạt điểm cao hơn trong các bài kiểm tra chuẩn hoả.	2	Từ vựng IELTS 8.0
7	/tə brɪŋ ðə iːz əv kəˌmjuːnɪˈkeɪʃn/	To bring the ease of communication.	Đem lại sự dễ dàng trong giao tiếp	A mutual language between parties in a conversation would definitely bring the ease of communication.\nNgôn ngữ chung giữa các bên trong một cuộc trò chuyện chắc chắn sẽ mang lại sự dễ dàng trong giao tiếp.	2	Từ vựng IELTS 8.0
8	/tə duː əˈweɪ wɪð ˈlæŋɡwɪdʒ ˈbæriə/	To do away with language barrier.	Loại bỏ rào cản ngôn ngữ	A global language can do away with language barrier, which has been discouraging international trade and export activities.\nMột ngôn ngữ toàn cầu có thể loại bỏ rào cản ngôn ngữ - một vấn để trước giờ làm trì trệ các hoạt động thương mại và xuất khẩu quốc tế.	2	Từ vựng IELTS 8.0
9	/ə ˈsəʊʃl ˈbʌtəflaɪ/	A social butterfly.	Một người năng động, có sức lôi cuốn và thích giao tiếp	Having a social butterfly leading a talk can boost the energy of the conversation.\nNăng lượng của cuộc trò chuyện có thể được đẩy lên cao khi có một người năng nổ dẫn dắt.	2	Từ vựng IELTS 8.0
10	/ˈpʌblɪk ˈspiːkɪŋ skɪlz/	Public speaking skills.	Kỹ năng nói trước đám đông	Public speaking skills are one of the essentials for the young in the modern world.\nTrong thế giới hiện đại, kỹ năng nói trước đám đông là một trong những yếu tố cần thiết đối với giới trẻ.	2	Từ vựng IELTS 8.0
11	/tə spiːk jɔː maɪnd/	To speak your mind.	Bày tỏ suy nghĩ, ý kiến	We need to be mindful when speaking our mind in public.\nChúng ta cần lưu tâm khi bày tỏ suy nghĩ hay ý kiến của mình trước đám đông.	2	Từ vựng IELTS 8.0
12	/ðə juːs əv ˈbɒdi ˈlæŋɡwɪdʒ/	The use of body language.	Việc sử dụng ngôn ngữ cơ thể	70% of the effectiveness in communication comes from the use of body language.\n70% sự hiệu quả trong giao tiếp đến từ việc sử dụng ngôn ngữ cơ thể	2	Từ vựng IELTS 8.0
13	/tə meɪnˈteɪn ə ˌkɒnvəˈseɪʃn/	To maintain a conversation.	 Duy trì một cuộc trò chuyện	There are definitely challenges when maintaining a conversation with someone who has a big generation gap with you.\nChắc chẳn có những thách thức khi duy trì một cuộc trò chuyện với một người có khoảng cách thếhệ lớn với bạn.	2	Từ vựng IELTS 8.0
14	/tə meɪk smɔːl tɔːk/	To make small talk.	Nói chuyện về những điều không quan trọng với người mới gặp	It's not simple to make small talk, especially with introverts who are often unwilling to be involved in a conversation.\nKhông đơn giản để bắt chuyện, đặc biệt là với những người hướng nội, những người thường không muốn tham gia vào một cuộc trò chuyện.	2	Từ vựng IELTS 8.0
15	/tə meɪnˈteɪn aɪ ˈkɒntækt/	To maintain eye-contact.	Duy trì giao tiếp bằng mắt	Maintaining eye-contact can show the confidence of the speaker when communicating with others.\nDuy trì giao tiếp bằng mắt thể hiện sự tự tin của người nói khi giao tiếp với người khác.	2	Từ vựng IELTS 8.0
16	/tə ɪnˈɡeɪdʒ ði ˈɔːdiəns/	To engage the audience.	Kết nối với khán giả	In any presentation, the presenter needs to engage the audience constantly to keep their interest.\nTrong khi thuyết trình, người thuyết trình cần kết nối với khản giả liên tục để giữ được sự quan tâm của họ.	2	Từ vựng IELTS 8.0
