STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/tə ˈfɒstə ði ɪkˈspænʃn/	To foster the expansion.	Thúc đẩy sự mở rộng	Thanks to globalization, the ease in trade and commerce has fostered the expansion of emerging market economies.\nNhờ có toàn cầu hóa, giao thương và thương mại trở nên dễ dàng, từ đó thúc đẩy sự mở rộng của các nền kinh tế thị trường mới nổi	3	Từ vựng IELTS 8.0 
2	/ˌɪntəˈnæʃnəl ˈmɜːtʃəndaɪz treɪd/	International merchandise trade.	Giao thương hàng hóa quốc tế	Trade treaties being promoted and signed between countries has facilitated international merchandise trade.\nCác hiệp ước thương mại được xúc tiến và ký kết giữa các quốc gia đã tạo điều kiện thuận lợi cho giao thương hàng hóa quốc tế.	3	Từ vựng IELTS 8.0 
3	/ˈɪərə əv prɒˈsperəti/	Era of prosperity.	Kỳ nguyên thịnh vượng	A new era of prosperity is being brought to underdeveloped nations with the support from international funds.\n Nhờ có sự hỗ trợ từ các quỹ quốc tế, một ký nguyên thịnh vượng mới đang mở ra đối với các quốc gia kém phát triển.	3	Từ vựng IELTS 8.0 
4	/ˌkʌtɪŋ ˈedʒ tekˈnɒlədʒi/	Cutting-edge technology.	Công nghệ tiên tiến	The process of internationalization has introduced developing countries the access to cutting-edge technology.\nQuá trình quốc tế hóa đã mang lại cho các nước đang phát triển khả năng tiếp cận với công nghệ tiên tiến	3	Từ vựng IELTS 8.0 
5	/ˌmʌltiˈlætərəl treɪd əˈɡriːmənts/	Multilateral trade agreements.	Hiệp định thương mại đa phương	Multilateral trade agreements can remove both tariff and non-tariff barriers between parties, therefore, enhance exports and imports.\nCác hiệp định thương mại đa phương có thể xóa bỏ cả hàng rào thuế quan và phi thuế quan giữa các bên, do đó tăng cường các hoạt động xuất nhập khẩu.	3	Từ vựng IELTS 8.0 
6	/tə bɪˈkʌm ˈkləʊsli ˈɪntɪɡreɪtɪd/	To become closely integrated.	Hội nhập chặt chẽ	Vietnamhas become closely integrated with neighboring countries as the result of the establishment of the Association of Southeast Asian Nations in 1995.\n Việt Nam có thể hội nhập chặt chẽ với các nước láng giếng nhờ có sự ra đời của Hiệp hội các quốc gia Đồng Nam Á vào năm 1995.	3	Từ vựng IELTS 8.0 
7	/ðə lɒs əv ˈnæʃnəl aɪˈdentəti/	The loss of national identity.	Đánh mất bản sắc dân tộc	There is a growing concern that a world language might lead to the loss of national identity.\nNgày càng có nhiều mối lo ngại rằng việc nói chung một ngôn ngữ trên toàn thếgiới có thể dẫn đến hiện tượng đánh mất bản sắc dân tộc.	3	Từ vựng IELTS 8.0 
8	/ˈkʌltʃərəl kənˈvɜːdʒəns/	Cultural convergence.	Sự hội tụ văn hóa	Cultural convergence is considered one of the adverse effects of globalization, when different cultures reflect each otherdue to the increase in interactions.\nSự hội tụ văn hóa được coi là một trong những tác động bất lợi của toàn cầu hóa, khi mà các nền văn hóa trở nên ngày càng giống nhau do sự gia tăng tương tác.	3	Từ vựng IELTS 8.0 
9	/ˌænti ˌɡləʊbəlaɪˈzeɪʃn ˈædvəkəts/	Anti-globalization advocates.	Những người phản đối toàn cầu hóa	Anti-globalization advocates argue that the process would do away with traditional values and distinctive customs of cultures, hence contract cultural diversity.\nNhững người phản đối toàn cấu hóa cho rằng quá trình này sẽ làm mất đi các giả trị và phong tục truyển thống đặc trưng của các nền văn hóa, do đó làm giảm sự đa dạng văn hóa.	3	Từ vựng IELTS 8.0 
10	/ə ˈkʌt θrəʊt wɜːld/	A cut-throat world.	Một thế giới thiếu công bằng và cạnh tranh không lành mạnh	Internationalization is an indirect factor in creating a cut-throat world in which plenty of companies have fallen victim to unfair competition.\nQuốc tế hóa là một yếu tố gián tiếp tạo ra một thể giới thiếu công bằng, trong đó nhiểu công ty đã trở thành nạn nhân của sự cạnh tranh không lành mạnh.	3	Từ vựng IELTS 8.0 
