STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/ə dɪˈfaɪnɪŋ ˈməʊmənt/	A defining moment.	Một thời khắc quan trọng.	The end of the Vietnam War was such a defining moment for the country in more ways than one.\nSự kết thúc của chiến tranh Việt Nam là một thời khắc quan trọng đối với đất nước trên nhiều phương diện.	5	Từ vựng IELTS 8.0 
2	/ə ˈkruːʃl ˈmaɪlstəʊn/	A crucial milestone.	Một dấu mốc quan trọng.	One of the most crucial milestones in Vietnam's history is the day Uncle Ho read the Declaration of Independence, announcing the birth of the Democratic Republic of Vietnam.\nMột trong những dấu mốc quan trọng nhất trong lịch sử Việt Nam là ngàу Bác Hồ đọc bản Tuyên ngôn độc lập, khai sinh ra nước Việt Nam Dân chủ Cộng hòа	5	Từ vựng IELTS 8.0 
3	/tə ˈmænɪfest ˈpætriətɪzəm/	To manifest patriotism.	Thể hiện lòng yêu nước.	Literature in war time was used as a weapon to manifest patriotism among soldiers and citizens.\nVăn học thời chiến được sử dụng như một vũ khí nhằm thểhiện lòng yêu nước của các chiến sĩ và người dân.	5	Từ vựng IELTS 8.0 
4	/ə ˈvɪvɪd ˌkɒnfəˈmeɪʃn/	A vivid confirmation.	Sự khẳng định một cách sinh động.	The Declaration of Independence of the Democratic Republic of Vietnam is a vivid confirmation of the determination to fight against foreign intruders.\nBản Tuyên ngôn Độc lập của nhân dân Việt Nam khẳng định một cách sinh động lòng quyết tâm chống giặc ngoại xâm.	5	Từ vựng IELTS 8.0 
5	/tə dɪˈfend ˈnæʃnəl ˈsɒvrənti/	To defend national sovereignty.	Bào vệ chủ quyển dân tộc.	It is of great importance for the young to understand the sacrifice of their ancestors when defending national sovereignty.\nThếhệ trẻ cần hiểu được sự hy sinh của cha ông đổi với công cuộc bảo vệ chủ quyền dân tộc.	5	Từ vựng IELTS 8.0 
6	/ə wel ɑːmd ˈɑːmi fɔːs/	A well-armed army force.	Một lực lượng quân đội hùng mạnh.	Vietnam astounded the world when we defeated such a well-armed army force as the US.\nViệt Nam đã khiến cả thế giới kinh ngạc khi đánh bại một lực lượng quân đội hùng mạnh như Mỹ.	5	Từ vựng IELTS 8.0 
7	/ðə vɪkˈtɔːriəs pɑːst/	The victorious past.	Quá khứ chiến thắng hào hùng.	The victorious past of the nation is well depicted not only through literature but also in other forms of arts, including music and paintings.\nQuá khứ chiến thắng hào hùng của dân tộc được khắc họa rõ nét không chỉ qua văn học mà còn qua các loại hình nghệ thuật khác, bao gồm cả âm nhạc và hội họa.	5	Từ vựng IELTS 8.0 
8	/tə teɪk praɪd ɪn wʌnz ˈɒrɪdʒɪn/	To take pride in one's origin.	Tự hào về nguồn gốc.	People who have thorough insight into their own history would take pride in their origin. \nNhững người có cái nhìn sâu sắc về lịch sử đất nước sẽ tự hào về nguồn gốc của họ.	5	Từ vựng IELTS 8.0 
9	/ðə ʌps ənd daʊnz/	The ups and downs.	Những thăng trấm.	The ups and downs of the process of reclaiming sovereignty have left next generations priceless lessons of patriotism.\nNhững thăng trầm của quá trình giành lại chủ quyển đã để lại cho thế hệ mai sau những bài học vô giá về lòng yêu nước.	5	Từ vựng IELTS 8.0 
10	/ðə ˈpɒvəti ənd ˌdestɪˈtjuːʃn/	The poverty and destitution.	Sự nghèo đói và cơ cực.	Despite the poverty and destitution from the prolonged war, our ancestors battled valiantly with the atrocity of imperialist countries \nMặc dù nghèo đới và cơ cực do chiến tranh kéo dài, ông cha ta đã chiến đấu anh dũng trước sự tàn bạo của các nước đếquốc.	5	Từ vựng IELTS 8.0 
11	/tə prɪˈzɜːv trəˈdɪʃənl ˈvæljuːz ənd aɪˈdentəti/	To preserve traditional values and identity.	Lưu giữ những giá trị và bản sắc truyền thống.	The primary function of museums is to preserve traditional values and identity of the home country.\nChức năng chính của bảo tàng là lưu giữnhững giá trị và bản sắc truyền thống của đất nước.	5	Từ vựng IELTS 8.0 
12	/tə ɪnˈhɑːns wʌnz ˌʌndəˈstændɪŋ/	To enhance one's understanding.	Nâng cao hiểu biế.	Paying a visit to local museums would enhance one's understanding of various aspects from art to history.\nViệc ghé thăm các bảo tàng địa phương sẽ nâng cao hiểu biết của một người trên nhiều khía cạnh khác nhau từ nghệ thuật đến lịch sử	5	Từ vựng IELTS 8.0 
13	/ə wel ˈraʊndɪd pəˈspektɪv əv laɪf/	A well-rounded perspective of life.	Góc nhìn toàn diện về cuộc sống.	Knowledge that can be learnt in museums offers a well-rounded perspective of life.\nNhững kiến thức mà chúng ta có thể học được từ các viện bảo tàng mang lại một góc nhìn toàn diện về cuộc sống.	5	Từ vựng IELTS 8.0 
