STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/tə teɪk ðə liːd/	To take the lead	Chiếm đa số	There are various means of transport here in Vietnam, but motorbikes have always taken the lead.\nỞ Việt Nam có nhiều loại phương tiện giao thông, tuy nhiên, xe máy vẫn chiếm đa số.	1	Từ vựng IELTS 8.0
2	/tə ɡet held ʌp ɪn ˈhevi ˈtræfɪk/	To get held up in heavy traffic	Bị kẹt trong giao thông đông đúc	I got held up in heavy traffic this morning but luckily made it to the office on time.\nSáng nay tôi bị kẹt xe cứng ngắc, nhưng may mà vẫn đến văn phòng đúng giờ.	1	Từ vựng IELTS 8.0
3	/tə bi ˌdʒæm ˈpækt/	To be jam-packed	Trong tình trạng kẹt cứng	In many countries, streets are always jam-packed in rush hours due to a large number of private vehicles.\nTại nhiều quốc gia, các tuyến đường luôn trong tình trạng quá tải vào những khung giờ cao điểm bởi số lượng lớn phương tiện giao thông cá nhân.	1	Từ vựng IELTS 8.0
4	/tə biːt ðə ˈtræfɪk/	To beat the traffic	Đi sớm để tránh tắc đường	I need to beat the traffic to be punctual for the meeting tomorrow.\nNgày mai, tôi cần rời khỏi nhà sớm để tránh tắc đường và đến cuộc họp đúng giờ.	1	Từ vựng IELTS 8.0
5	/ˈkɑːˌpuːlɪŋ/	Carpooling	Đi chung xe	Carpooling not only reduces congestion and air pollution but also saves on travel expenses.\nĐi chung xe không chỉ giảm ùn tắc và ô nhiễm không khí mà còn tiết kiệm chi phí đi lại.	1	Từ vựng IELTS 8.0
6	/tə kəˈmjuːt/	To commute	Di chuyển quăng đường từ nhà đến chỗ làm	It's exhausting commuting in such a metropolis like Hanoi.\nViệc đi làm hàng ngày ở một đô thị như Hà Nội thật mệt mỏi.	1	Từ vựng IELTS 8.0
7	/tə ˌʌpˈɡreɪd ðə ˈpʌblɪk ˈtrænspɔːt ˈsɪstəm/	To upgrade the public transport system	Nâng cấp hệ thống giao thông công cộng	One effective and sustainable way to reduce traffic emission is to upgrade the public transport system.\nMột cách hiệu quả và bền vững để giảm khí thải giao thông là nâng cấp hệ thống giao thông công cộng.	1	Từ vựng IELTS 8.0
8	/tə iːz ˈtræfɪk fləʊ/	To ease traffic flow	Giảm lưu lượng giao thông	Various methods have been trialled to ease traffic flow in megacities.\nNhiều phương pháp khác nhau đã được thử nghiệm để giảm bớt lưu lượng giao thông tại các siêu đô thị.	1	Từ vựng IELTS 8.0
9	/tə ɪmˈbɑːk ɒn ən ɪkˈsaɪtɪŋ trɪp/	To embark on an exciting trip	Bắt đầu một chuyến đi thú vị	A gap year during college is a great chance to embark on an exciting trip.\nMột năm tạm nghỉ trong thời gian học Đại học là một cơ hội tuyệt vời để bắt đầu một chuyến đi thú vị.	1	Từ vựng IELTS 8.0
10	/tə meɪk ən ˈɑːdʒuəs ˈdʒɜːni/	To make an arduous journey	Thực hiện một hành trình gian nan	To mark my last year of being a student, I successfully made an arduous journey exploring mountainous areas in the North of Vietnam.\nĐể đánh dấu năm cuối là sinh viên, tôi đã thực hiện thành công chuyến hành trình gian nan khám phá các vùng núi phía Bắc Việt Nam.	1	Từ vựng IELTS 8.0
11	/tə ɡet əˈweɪ frəm ɪt ɔːl/	To get away from it all	Đi du lịch và nghỉ ngơi	After staying at home for too long because of the pandemic, I desperately need a chance to get away from it all.\nSau khi ở nhà quá lâu vì đại dịch, tôi tha thiết cần một cơ hội để đi du lịch và nghỉ ngơi.	1	Từ vựng IELTS 8.0
12	/tə ɪnˈdʒɔɪ iːtʃ ˈʌðəz ˈkʌmpəni/	To enjoy each other's company	Thích dành thời gian với nhau	I had an amazing trip with my deskmate, who is also my travelmate, since we enjoy each other's company so much.\nTôi đã có một chuyến đi tuyệt vời với bạn cùng bàn, cũng là bạn cùng du lịch của tôi, vì chúng tôi rất thích đồng hành cùng nhau.	1	Từ vựng IELTS 8.0
13	/ˈpleɪsɪz əv ˈɪntrəst/	Places of interest	Địa điểm thu hút khách du lịch	Vietnam is such a destination of a lifetime with numerous places of interest.\nViệt Nam quả là một điểm đến lý tưởng với vô số danh lam thẳng cảnh.	1	Từ vựng IELTS 8.0
14	/ˈhɒlədeɪ əv ə ˈlaɪftaɪm/	Holiday of a lifetime	Chuyến đi để đời	I can still vividly remember my holiday of a lifetime when I traveled around Europe.\nTôi vẫn còn nhớ rất rõ chuyến đi để đời vòng quanh châu Âu.	1	Từ vựng IELTS 8.0
15	/ˈləʊkl kwɪˈziːn ənd ˈspeʃəltiz/	Local cuisine and specialties	Ẩm thực và đặc sản địa phương	I gotta say I'm an avid foodie, so traveling is always a chance for me to explore local cuisine and specialties.\nTôi phải nói rằng tôi là một người thích ăn uống, vì vậy đi du lịch luôn là cơ hội để tôi khám phá ẩm thực và đặc sản địa phương.	1	Từ vựng IELTS 8.0
16	/spekˈtækjələ ˈsiːnəri/	Spectacular scenery	Phong cảnh ngoạn mục	I had an eye-opening experience visiting Switzerland and seeing spectacular scenery of nature.\nTôi đã có một trải nghiệm mở mang tẩm mắt khi đến thăm Thụy Sĩ và nhìn ngắm phong cảnh ngoạn mục của thiên nhiên	1	Từ vựng IELTS 8.0
