STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/tə lɪv ə ˈsedntri ˈlaɪfstaɪl/	To live a sedentary lifestyle.	Sống một lối sống lười vận động.	Nowadays, people have a tendency to live a sedentary lifestyle, which can have negative impacts on their health.\nNgày nay, con người có xu hướng sống lối sống lười vận động, điều này có thể gây ra những tác động tiêu cực đến sức khỏe của họ.	9	Từ vựng IELTS 8.0 
2	/tə əˈdɒpt ə ˈbælənst ˈdaɪət/	To adopt a balanced diet.	Áp dụng chế độ ăn cân bằng.	It is necessary to eat a variety of food in order to keep our body healthy. It is of paramount importance to adopt a balanced diet in order to keep our body healthy.\nĐiểu tối quan trọng là áp dụng một chếđộ ăn uống cân bằng để giữ cho cơ thể khỏe manh.	9	Từ vựng IELTS 8.0 
3	/tə kənˈteɪn ˈvaɪtl ˈnjuːtriənts/	To contain vital nutrients.	Chứa dinh dưỡng thiết yếu.	It is essential to take in an adequate amount of food that contains vital nutrients like calcium, iron or vitamins.\nViệc bổ sung đủ lượng thức ăn có chứa các chất dinh dưỡng thiết yếu như canxi, sắt hoặc vitamin rất quan trọng.	9	Từ vựng IELTS 8.0 
4	/tə bi prəʊn tə əʊˈbiːsəti/	To be prone to obesity.	Có khả năng mắc bệnh béo phì.	You are prone to obesity if you eat lots of food that is cooked in fat and oil.\nBạn sẽ dễ bị béo phì nếu ăn nhiều thức ăn chế biến từ dẫu mỡ.	9	Từ vựng IELTS 8.0 
5	/tə kʌt daʊn ɒn ˈprəʊsest fuːd/	To cut down on processed food.	Cất giảm đồ ăn chế biến sẵn.	Cutting down on processed food would not only lower the risk of various diseases but reduce the rate of allcause mortality as well.\nCắt giảm thực phẩm chế biến sẵn không chỉ làm giảm nguy cơ mắc bệnh mà còn giảm tỷ lệ tử vong đến từ nhiếu nguyên nhân.	9	Từ vựng IELTS 8.0 
6	/tə diːˈtɒksɪfaɪ jɔː ˈbɒdi/	To detoxify your body.	Thải độc cho cơ thể.	Detoxifying your body simply by drinking more water and cutting down on sugar intake would keep you away from dehydration and diabetes.\nThải độc cơ thể đơn giản bằng cách uống nhiều nước hơn và cắt giảm lượng đường nạp vào cơ thể sẽ giúp bạn tránh khỏi tình trạng mắt nước và bệnh tiểu đường.	9	Từ vựng IELTS 8.0 
7	/tə buːst jɔː ɪˈmjuːn sɪstəm/	To boost your immune system.	Täng cường hệ miễn dịch.	Vitamin C found in fruit and vegetables helps to boost your immune system and keeps you away from a variety of ailments.\nVitamin C trong trải cây và rau quả giúp tăng cường hệ miễn dịch và giúp tránh nhiều loại bệnh.	9	Từ vựng IELTS 8.0 
8	/tə ˈsʌfə frəm ˈkrɒnɪk dɪˈziːzɪz/	To suffer from chronic diseases.	Mắc các bệnh mãn tính.	People who suffer from chronic diseases such as heart disease, diabetes or cancer experience different kinds of limitations in their daily lives.\nNhững người mắc các bệnh mãn tính như bệnh tim, tiểu đường hoặc ung thư sẽ gặp nhiều hạn chếtrong cuộc sống hàng ngày.	9	Từ vựng IELTS 8.0 
9	/tə spɔɪl jɔː ˈæpɪtaɪt/	To spoil your appetite.	Làm bạn thấy chán ăn, muốn ăn ít hơn.	Having snacks before meals would spoil your appetite.\nĂn vặt trước bữa ăn sẽ làm giảm cảm giác thèm ăn của bạn.	9	Từ vựng IELTS 8.0 
10	/juː ɑː wɒt juː iːt/	You are what you eat.	Nếu muốn có sức khỏe tốt bạn cần ăn uống lành mạnh.	You are what you eat, so it's best to keep off junk food.\nNếu muốn có sức khỏe tốt bạn cần ăn uống lành mạnh, vì vậy tốt nhất là bạn nên tránh xa những loại thực phẩm nghèo dinh dưỡng.	9	Từ vựng IELTS 8.0 
11	/tə hɪt ðə dʒɪm/	To hit the gym.	Đến phòng tập thểhình.	Staying physically active by taking up sports or hitting the gym would keeр you in shapе.\nDuy trì hoạt động thể chất bằng cách tham gia các môn thể thao hoặc đến phòng tập thể hình sẽ giúp bạn giữ gìn vóc dáng.	9	Từ vựng IELTS 8.0 
12	/tə bɜːn ˈkæləriz ənd bɪld ˈmʌsl/	To burn calories and build muscle.	Đốt cháy calo và xây dựng cơ bắp.	You can reduce body fat by doing exercise and eating healthily. There's no doubt that by exercising on a regular basis and having a balanced diet, your body would burn more calories and build more muscle.\nBằng việc tập thể dục thường xuyên và duy trì một chế độ ăn uống cân bằng, cơ thể bạn sẽ đốt cháy calo và xây dựng cơ bắp.	9	Từ vựng IELTS 8.0 
13	/tə spiːd ʌp jɔː məˈtæbəlɪzəm/	To speed up your metabolism.	Thúc đẩy quá trình trao đổi chất.	Green tea is proven to convert fat into free fatty acids, which speeds up your metabolism.\nTrà xanh được chứng minh là có thể chuyển hỏa chất béo thành các axit béo tự do, giúp thúc đẩy quá trình trao đổi chất.	9	Từ vựng IELTS 8.0 
14	/tə steɪ ɪn ʃeɪp/	To stay in shape.	Giữ gìn vóc dáng.	It's not easy to stay in shape if you have to sit behind a desk all day.\nBạn khó có thể giữ gìn vóc dáng nếu cứ ngồi một chỗ cả ngày.	9	Từ vựng IELTS 8.0 
15	/tə kiːp ə liːn ˈbɒdi/	To keep a lean body.	Giữ lượng mỡ cơ thể thấp.	It is not easy to maintain a low amount of body fat. It takes a lot of time and effort to keep a lean body.\nCần rất nhiều thời gian và công sức để giữ được lượng mỡ cơ thể thấp.	9	Từ vựng IELTS 8.0 
16	/tə meɪnˈteɪn ə ˈhelθi weɪt/	To maintain a healthy weight.	Duy trì mức cân nặng hợp lý.	Following a balanced diet and a regular exercise schedule is essential in maintaining a healthy weight.\nTuân theo một chế độ ăn uống cân bằng và một lịch trình tập thể dục thường xuyên là điều cần thiết để duy trì mức cân nặng hợp lý.	9	Từ vựng IELTS 8.0 
17	/tə bi aʊt əv kənˈdɪʃn/	To be out of condition.	Không khỏe do không hoạt động thể chất.	Being out of condition last summer made me realize the significance of exercising on a regular basis.\nVào mùa hè năm ngoái, sau một thời gian không tập thể dục, tôi cảm thấy không khỏe mạnh và điều đó khiến tôi nhận ra tẩm quan trọng của việc tập thể dục thường xuyên.	9	Từ vựng IELTS 8.0 
18	/tə bi æz fɪt əz ə ˈfɪdl/	To be (as) fit as a fiddle.	Rất khỏe mạnh, sung sức.	Hitting the gym for the past few months has made me feel fit as a fiddle.\nTập thể dục trong vài tháng qua khiến tôi cảm thấy sung sức.	9	Từ vựng IELTS 8.0 
