STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/tə bi ˈwaɪdli əkˈseptɪd/	To be widely accepted.	Được chấp nhận rộng rãi.	Cash is widely accepted across Vietnam while there are only certain places that accept cards. \nTiền mặt được chấp nhận rộng rãi trên khắp Việt Nam trong khi chỉ có một số nơi chấp nhận thanh toán thẻ.	7	Từ vựng IELTS 8.0 
2	/tə meɪk ˌəʊvəˈsiːz trænˈzækʃnz/	To make overseas transactions.	Thực hiện các giao dịch ở nước ngoài.	Cards can be used to make overseas transactions with ease.\nThẻ có thể được sử dụng để thực hiện các giao dịch ở nước ngoài một cách dễ dàng.	7	Từ vựng IELTS 8.0 
3	/tə bi ˈelɪdʒəbl fə ˈmeni ˈdɪskaʊnts/	To be eligible for many discounts.	Dược hưởng nhiều chiết khấu.	One advantage of owning a bank account is that card holders are eligible for many discounts.\nMột lợi thế của việc sở hữu tài khoản ngân hàng là chủ thể được hưởng nhiều chiết khẩu.	7	Từ vựng IELTS 8.0 
4	/ðə liːk əv bæŋk əˈkaʊnt ˈdiːteɪlz/	The leak of bank account details.	Việc rò rỉ thông tin tài khoản ngân hàng.	The leak of bank account details can lead to unimaginable loss to owners.\nViệc rò rỉ thông tin tài khoản ngân hàng có thể dẫn đến tổn thất không thể tưởng được cho chủ sở hữu.	7	Từ vựng IELTS 8.0 
5	/ðə ˈpɜːtʃəsɪŋ ˈpaʊə/	The purchasing power.	Sức mua.	If the government couldn't control the inflation rate, the purchasing power of the average wage would fall significantly.\nNếu chính phủ không thể kiểm soát tỷ lệ lạm phát, sức mua của mức lương trung bình sẽ giảm đáng kể.	7	Từ vựng IELTS 8.0 
6	/tə ɪnˈkɔːpəreɪt ˈpɜːsənl faɪˈnæns ˌedʒuˈkeɪʃn/	To incorporate personal finance education.	Lồng ghép giáo dục tài chính cá nhân.	Schools should consider incorporating personal finance education into the curriculum.\nTrường học nên xem xét lồng ghép giáo dục tài chính cá nhân vào chương trình giảng dạy.	7	Từ vựng IELTS 8.0 
7	/tə əˈvɔɪd ˈmeɪkɪŋ bæd faɪˈnænʃl dɪˈsɪʒnz/	To avoid making bad financial decisions.	Tránh đưa ra các quyết định tài chính sai lầm.	Financial literacy would help children avoid making bad financial decisions in the future.\nHiểu biết về tài chính sẽ giúp trẻ em tránh đưa ra các quyết định tài chính sai lầm trong tương lai.	7	Từ vựng IELTS 8.0 
8	/tə ˈmænɪdʒ ˈpɜːsənl faɪˈnænsɪz/	To manage personal finances.	Quản lý tài chính cá nhân.	Lessons about managing personal finances teaches children how to save up money for future spendings.\nCác bài học về quản lý tài chính cá nhân dạy trẻ cách tiết kiệm tiền để chi tiêu trong tương lai.	7	Từ vựng IELTS 8.0 
9	/tə kɒst ən ɑːm ənd ə leɡ/	To cost an arm and a leg.	Rất tốn kém.	Band 8.0 I would love a trip to Europe but it would definitely cost an arm and a leg.\nTôi muốn đến châu Âu nhưng nó chắc chắn sẽ rất tốn kém.	7	Từ vựng IELTS 8.0 
10	/ə ˈrɪp ɒf/	A rip-off.	Một thứ không xứng với số tiền bỏ ra để mua.	I've been to that concert before and it was a rip-off to charge me $400.\nTôi đã từng đến buổi hòa nhạc đó trước đây và việc tính phí 400 đô la không hể xứng đáng.	7	Từ vựng IELTS 8.0 
11	/tə ˈtaɪtn maɪ belt/	To tighten my belt.	Thắt lưng buộc bụng.	I've had to tighten my belt since I lost my full-time job due to the pandemic.\nTôi đã phải thắt lưng buộc bụng kể từ khi mất việc làm toàn thời gian do đại dịch.	7	Từ vựng IELTS 8.0 
12	/tə seɪv ˈmʌni fə ə ˈreɪni deɪ/	To save money for a rainy day.	Dành tiền phòng khi gặp khó khăn.	I have always limited my spendings each month to save money for a rainy day.\nTôi luôn hạn chế chi tiêu mỗi tháng để dành tiến phòng khi gặp khó khăn.	7	Từ vựng IELTS 8.0 
13	/ə ˈθrəʊəweɪ səˈsaɪəti/	A throw-away society.	Một xã hội mà mọi người luôn vứt bỏ đồ đạc.	A throw-away society encourages a wasteful and materialistic lifestyle. \nMột xã hội mà mọi người luôn vứt bỏ đồ đạc sẽ tiếp tay cho một lối sống hoang phí và quả vật chất.	7	Từ vựng IELTS 8.0 
14	/tə ˈstɪmjuleɪt ði ɪˈkɒnəmi/	To stimulate the economy.	Kích thích nền kinh tế.	Over the course of the pandemic, numerous attempts to stimulate the economy by dropping interest rates have been made by the banks.\nTrong đại dịch, các ngân hàng đã có nhiểu nỗ lực nhằm kích thích nền kinh tếbằng cách giảm lãi suất.	7	Từ vựng IELTS 8.0 
15	/tə lɪv ɒn ə ləʊ ˈɪnkʌm/	To live on a low income.	Sống với mức thu nhập thấp.	I moved out and started living on a low income not too long ago, so I need to learn how to be financially responsible.\nCách đây không lâu, tôi đã chuyển ra ngoài và bắt đầu sống với mức thu nhập thấp, vì vậy tôi cần học cách chịu trách nhiệm về tài chính	7	Từ vựng IELTS 8.0 
16	/tə bi ɪn ðə red/	To be in the red.	Cháy túi, hết tiền.	My mom warned me that I could be in the red and run out of money at the end of each month if I didn't spend wisely.\nMẹ tôi cảnh báo rằng tôi có thể cháy túi và rơi vào tình trạng hết tiền vào cuổi mỗi tháng nếu tôi không chi tiêu một cách khôn ngoan.	7	Từ vựng IELTS 8.0 
17	/tə set ˈseɪvɪŋz ɡəʊlz/	To set savings goals.	Đặt mục tiêu tiết kiệm.	I should start making my own financial decisions by setting savings qoals first.\nTôi nên bắt đầu đưa ra các quyết định tài chính của riêng mình bằng cách đặt mục tiêu tiết kiệm.	7	Từ vựng IELTS 8.0
18	/tə kʌt bæk ɒn maɪ ˈspendɪŋ/	To cut back on my spending.	Cắt giảm chi tiêu.	My savings goals this month are to cut back on my spending and to not overspend on necessities.\nMục tiêu tiết kiệm của tôi trong tháng này là cắt giảm chi tiêu và không chi tiêu quả mức cho những nhu cầu thiết yếu.	7	Từ vựng IELTS 8.0
19	/tə ˈbæləns ði ɪkˈspens/	To balance the expense.	Cân đổi chi tiêu.	There are various difficulties in maintaining good spending habits and balancing the expense.\nRất khó khăn để duy trì thói quen chi tiêu hợp lý và cân đối chi tiêu.	7	Từ vựng IELTS 8.0
20	/tə fiːl faɪˈnænʃəli sɪˈkjʊə/	To feel financially secure.	Cảm thấy an tâm về tài chính.	On payday, I always put parts of my salary to a savings account in order to feel financially secure.\nVào ngày lĩnh lương, tôi luôn để một phần tiền lương của mình vào tài khoản tiết kiệm để cảm thấy an tâm về tài chính.	7	Từ vựng IELTS 8.0
