STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/ə ˈɡəʊɪŋ kənˈsɜːn/	A going concern.	Một doanh nghiệp tạo ra lợi nhuận.	Since the introduction in Vietnamese Vietnam. market, the business has been a going concern.\nKể từ khi có mặt tại thị trường Việt Nam, doanh nghiệp đã liên tục tạo ra lợi nhuân.	6	Từ vựng IELTS 8.0 
2	/tə teɪk ɒf/	To take off.	Trở nên thành công hoặc phổ biến.	Clothing and shoe stores have really taken off and gained popularity in young generations.\nCác cửa hàng quần áo và giày dép đã thực sự phát triển và trở nên phố biến với thế hệ trẻ.	6	Từ vựng IELTS 8.0 
3	/tə spraʊt əˈkrɒs ðə ˈkʌntri/	To sprout across the country.	Mọc lên như nấm trên khắp đất nước.	Shopping malls and commercial centres are sprouting across the country.\nCác khu mua sắm và trung tâm thương mại đang mọc lên như nấm trên khắp đất nước.	6	Từ vựng IELTS 8.0 
4	/tə ˈfɒstə ðə ɡrəʊθ/	To foster the growth.	Thúc đẩy sự phát triển.	The authorities can help foster the growth of small and medium enterprises by offering monetary incentives or providing loan guarantees.\nCác nhà chức trách có thể hỗ trợ thúc đẩy sự phát triển của các doanh nghiệp vừa và nhỏ bằng cách đưa ra các hỗ trợ về tiền tệ hoặc cung cấp các khoản bảo lãnh cho vay.	6	Từ vựng IELTS 8.0 
5	/tə fəˈsɪlɪteɪt ˈpiːplz laɪf/	To facilitate people's life.	Tạo thuận lợi cho cuộc sống con người.	The spread of convenience stores really facilitates people's lives.\nSự phát triển của các cửa hàng tiện lợi thực sự tạo thuận lợi cho cuộC sống của người dân.	6	Từ vựng IELTS 8.0 
6	/tə kriˈeɪt ˈvæljuːz fə ðə kəˈmjuːnəti/	To create values for the community.	Tạo giá trị cho cộng đồng.	Startup hopefuls believe that they can create values for the community, which motivate them to have their own business.\nNhững người khởi nghiệp tin rằng họ có thể tạo ra những giá trị cho cộng đồng, điều đó tạo động lực cho họ tự kinh doanh.	6	Từ vựng IELTS 8.0 
7	/tə ˈstrʌɡl tə kəmˈpiːt/	To struggle to compete.	Chật vật cạnh tranh.	It's not so surprising that small local stores are struggling to compete in the midst of swift growth of supermarkets.\nKhông quá ngạc nhiên khi các cửa hàng địa phương nhỏ đang phải vật lộn để cạnh tranh trong bối cảnh các siêu thị đang phát triển nhanh chóng	6	Từ vựng IELTS 8.0 
8	/tə ɡəʊ aʊt əv ˈbɪznəs/	To go out of business.	Phá sản.	It's been shown that 90% of startups go out of business within the first five years. \nSố liệu đã chỉ ra rằng 90% các công ty khởi nghiệp phả sản trong vòng 5 năm đầu tiên.	6	Từ vựng IELTS 8.0 
9	/tə ˈsɪmplɪfaɪ ðə ˈreɡjələtəri ˈprəʊses/	To simplify the regulatory process.	Đơn giản hóa quy trình quản lý.	Simplifying the regulatory process from the government is a great encouragement to small businesses.\nĐơn giản hóa quy trình quản lý từ chính phủ là sự khuyển khích lớn đối với các doanh nghiệp nhỏ.	6	Từ vựng IELTS 8.0 
10	/ˈkɔːpərət ˈɪnkʌm tæks/	Corporate income tax.	Thuế thu nhập doanh nghiệp.	Excessive corporate income tax is still a huge barrier for small businesses which are longing for promoting sales and marketing activities. \nThuế thu nhập doanh nghiệp quá cao vẫn là một rào cản lớn đối với các doanh nghiệp nhỏ đang khao khát đẩy mạnh các hoạt động bán hàng và tiếp thị.	6	Từ vựng IELTS 8.0 
11	/ə naɪn tə faɪv dʒɒb/	A nine-to-five job.	Một công việc văn phòng.	I don't relish doing a nine-to-five job it's boring. since it's dull and repetitive. \nTôi không thích làm một công việc văn phòng vì nó buồn tẻ và lặp đi lặp lai	6	Từ vựng IELTS 8.0 
12	/ʌnˈtɪl ɔːl ˈaʊəz/	Until all hours.	Rất muộn.	I'm used to staying at the office until all hours to finish all of my tasks. \nTôi đã quen với việc ở lại văn phòng rất muộn để hoàn thành công việc của mình.	6	Từ vựng IELTS 8.0 
13	/tə faɪnd ðə ˈbæləns bɪˈtwiːn wɜːk ənd laɪf/	To find the balance between work and life.	Tim kiếm sự cân bằng giữa công việc và cuộc sống.	I have been struggling to find the balance between work and life when having two jobs at the same time.\nTôi đã rất vất và trong việc tìm kiếm sự cân bằng giữa công việc và cuộc sống khi có hai công việc cùng một lúc.	6	Từ vựng IELTS 8.0 
14	/tə bi əbˈzɜːvd baɪ ˈhaɪər ʌps/	To be observed by higher-ups.	Bị áp đặt bởi cấp trên.	Some want to be self-employed as they don't want to be observed by higher-ups.\nMột số người muốn tự kinh doanh vì họ không muốn bị áp đặt bởi cấp trên.	6	Từ vựng IELTS 8.0 
15	/tə ɡɪv mi ə hɑːd taɪm/	To give me a hard time.	Đẩy tôi vào một khoảng thời gian khó khăn.	The epidemic definitely gave me a hard time paying my bills. \nDịch bệnh chắc chắn đã đẩy tôi vào một khoảng thời gian khó khăn để trang trải cho cuộc sống của mình.	6	Từ vựng IELTS 8.0 
16	/tə teɪk ɒn / tə bi ˈteɪkən ɒn/	To take on/To be taken on.	Nhận vào/được nhận vào.	After the pandemic, Iwas turned down by a number of companies before being taken on by a non-profit organization which aims at children.\nSau đại dịch, tôi đã bị một số công ty từ chối trước khi được nhận vào một tổ chức phi lợi nhuận hoạt động vì trẻ em.	6	Từ vựng IELTS 8.0 
17	/tə meɪk endz miːt/	To make ends meet.	Trang trải cuộc sống.	What I like the most about my current job is the income that can help me make ends meet.\nĐiều tôi thích nhất ở công việc hiện tại là thu nhập giúp tôi trang trải cuộc sống.	6	Từ vựng IELTS 8.0
18	/maɪ bred ənd ˈbʌtə/	My bread and butter.	Công việc giúp trang trải cuộc sống.	Although I do a lot of photography, teaching is actually my bread and butter.\nMặc dù tôi chụp ảnh rất nhiều, nhưng việc dạy học mới thực sự là công việc giúp tôi trang trải cuộc sống.	6	Từ vựng IELTS 8.0
