STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/tə duː ˈwʌndəz fə ˈhjuːmən laɪf/	To do wonders for human life.	Cải thiện và hỗ trợ cuộc sống con người	Communication apps like Facebook, Whatsapp or Skype definitely do wonders for human life.\nCác ứng dụng liên lạc như Facebook, Whatsapp hay Skype chắc chắn cải thiện và hỗ trợ cuộc sống con người.	4	Từ vựng IELTS 8.0 
2	/tə ɡet ˈɪnstənt ˈækses tə ˈreləvənt ˌɪnfəˈmeɪʃn/	To get instant access to relevant information.	Truy cập tức thì vào các thông tin cần thiết	The internet helps us get instant access to relevant information anytime and anywhere.\n Intermet giúp chúng to truy cập tức thì vào các thông tin cần thiết mọl lúc và mọi nơi.	4	Từ vựng IELTS 8.0 
3	/tə bi siːn əz ən ˌɪndɪˈspensəbl pɑːt/	To be seen as an indispensable part.	Được xem như một phẩn không thể thiếu	Smartphones, laptops and other technological devices are seen as an indispensable part in our modern life nowadays.\nĐiện thoại thông minh, máy tính xách tay và các thiết bị công nghệ khác được xem như một phần không thể thiểu trong cuộc sống hiện đại ngày nay của chúng ta.	4	Từ vựng IELTS 8.0 
4	/tə kʌm ɪn ˈjuːsfl/	To come in useful.	Trở nên hữu ích	Multifunctional devices would come in useful especially when we are on the move.\nCác thiết bị đa chức năng sẽ trở nên hữu ích đặc biệt khi chúng ta đang di chuyến.	4	Từ vựng IELTS 8.0 
5	/θæŋks tə web sɜːtʃ ˈendʒɪnz/	Thanks to web search engines.	Nhờ vào các công cụ tìm kiếm	Nowadays, seeking information has become much easier thanks to web search engines.\n Ngày nay, việc tìm kiếm thông tin đã trở nên dễ dàng hơn rất nhiều nhà vào các công cụ tìm kiếm.	4	Từ vựng IELTS 8.0 
6	/tə bi rɪˈlʌktənt tə kəˈmjuːnɪkeɪt/	To be reluctant to communicate.	Ngại giao tiếp	The overuse of technology can dull our mental sharpness, making us reluctant to communicate with others.\nViệc lạm dụng công nghệ có thể làm suy giảm sự nhạy bén về tinh thần, khiến chúng ta ngại giao tiếp với người khác.	4	Từ vựng IELTS 8.0 
7	/ən ˈɪntənet ˈædɪkt/	An internet addict.	Một người nghiện internet	I actually consider myself an internet addict.\nThực ra, tôi coi mình là một người nghiện intermet.	4	Từ vựng IELTS 8.0 
8	/tə bi ˈəʊvəli dɪˈpendənt ɒn/	To be overly dependant on.	Bị phụ thuộc quá mức	It's easy to get overly dependent on the internet since we can basically find anything there.\nRất dễ bị phụ thuộc quá mức vào internet vì chúng ta có thể tìm thấy bất cứ thứ gi ở đó.	4	Từ vựng IELTS 8.0 
9	/kɑːnt lɪv wɪˈðaʊt/	Can't live without.	Không thể sống thiếu	Technology applications, especially household ones, have become an irreplaceable part that we can't live without.\n Các ứng dụng công nghệ, đặc biệt là đồ gia dụng, đã trở thành một phần không thể thiếu trong cuộc sống của chúng ta.	4	Từ vựng IELTS 8.0 
10	/ði ˈædvent əv ˌteknəˈlɒdʒɪkl dɪˈvaɪsɪz/	The advent of technological devices.	Sự ra đời của các thiết bị công nghệ	The advent of technological devices helps to improve human-to-human connection, especially with long distance communication.\nSự ra đời của các thiết bịcông nghệ giúp nâng cao khả năng kết nối giữa con người với con người, đặc biệt là liên lạc đường dài.	4	Từ vựng IELTS 8.0 
11	/ɪn ðə fɔːˈsiːəbl ˈtʃuːtʃə/	In the foreseeable future.	Trong tương lai gần	The need for human interaction can't be met by machines, at least in the foreseeable future.\nNhu cầu tương tác của con người sẽ không thể được đáp ứng bởi máy móc ít nhất là trong tương lai gần.	4	Từ vựng IELTS 8.0 
12	/tə duː əˈweɪ wɪð/	To do away with.	Loại bỏ	The use of machines is increasing dramatically since they can improve productivity and at the same time do away with  human errors and risk factors.\nViệc sử dụng máy móc đang gia tăng đáng kể vì chủng có thể cải thiện năng suất và đồng thời loại bỏ các sai sót của con người và các yếu tố rủi ro.	4	Từ vựng IELTS 8.0 
13	/ə ˌsʌbstɪˈtjuːʃn fə ˈhjuːmənz/	A substitution for humans.	Sự thay thế con người	It's safe to say that technology advances have been a substitution for humans in the labour market.\nCó thể an toàn khi nói rằng những tiến bộ công nghệ đang dẫn thay thế con người trên thị trường lao động.	4	Từ vựng IELTS 8.0 
14	/tə teɪk əˈweɪ dʒɒbz/	To take away jobs.	Tước mất việc làm	There is a fear that robots will someday take away jobs from unskilled labor.\nNgười ta lo sợ rằng một ngày nào đó robot sẽ tước mất việc làm của lao động phổ thông.	4	Từ vựng IELTS 8.0 
15	/tə hæv nəʊ tʃɔɪs/	To have no choice.	Không có lựa chọn nào khác	In the era of technology, workers have no choice but to continuously improve their knowledge and upgrade their professional skills.\nTrong thời đại công nghệ, người lao động không có lựa chọn nào khác ngoài việc liên tục trau dỗi kiến thức và nâng cao kỳ năng nghể nghiệp.	4	Từ vựng IELTS 8.0 
16	/tə bi left aʊt/	To be left out.	Bị bỏ lại phía sau	Blue-collar workers need to catch up with the latest technology to not be left out in the modern world.\nLao động phổ thông cần bắt kịp với công nghệ mới nhất để không bị bỏ lại phía sau trong thế giới hiện đại.	4	Từ vựng IELTS 8.0 
