STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	ˌɑːtɪˈfɪʃl	Artificial	Nhân tạo	The growers use both natural and artificial light.\nNhững người làm nông sử dụng cả ánh sáng tự nhiên và ánh sáng nhân tạo.	3	Destination B2
2	fɔːls	False	Sai, giả, không thật	Mr.Dog gave the police a false name to hide his identity.\nMr.Dog đã cho cảnh sát một cái tên giả để giấu danh tính của mình.	3	Destination B2
3	ˈnætʃrəl	Natural	Tự nhiên, thuộc về tự nhiên	This juice is made from natural ingredients without any added sugar.\nNước ép này được làm từ các thành phần tự nhiên và không thêm đường.	3	Destination B2
4	ˈfɪzɪkl	Physical	Thuộc về vật chất, thể chất	Regular physical exercise is good for both your body and mind.\nTập thể dục thể chất thường xuyên rất tốt cho cả cơ thể và tâm trí của bạn.	3	Destination B2
5	truː	True	Đúng, có thật	Is it true that Mr.Cat is planning to move to a new city?\nCó đúng là Mr.Cat đang lên kế hoạch chuyển đến một thành phố mới không?	3	Destination B2
6	ˈækjərət	Accurate	Chính xác	The weather forecast was accurate and it rained all afternoon.\nDự báo thời tiết đã chính xác và trời đã mưa suốt cả buổi chiều.	3	Destination B2
7	ˈmeθəd	Method	Phương pháp	Teachers are looking for a new method to help students learn faster.\nCác giáo viên đang tìm kiếm một phương pháp mới để giúp học sinh học nhanh hơn.	3	Destination B2
8	weɪ	Way	Cách, con đường, phương thức	What is the best way to solve this difficult problem?\nCách tốt nhất để giải quyết vấn đề khó khăn này là gì?	3	Destination B2
9	ˈendʒɪn	Engine	Động cơ	Mr.Fox checked the car engine before starting the long journey.\nMr.Fox đã kiểm tra động cơ xe ô tô trước khi bắt đầu hành trình dài.	3	Destination B2
10	məˈʃiːn	Machine	Máy móc	This washing machine is very quiet and saves a lot of electricity.\nChiếc máy giặt này rất êm và tiết kiệm được rất nhiều điện.	3	Destination B2
11	ˈməʊtə(r)	Motor	Động cơ điện, mô tơ	The small electric motor inside the fan needs to be replaced.\nChiếc động cơ điện nhỏ bên trong cái quạt cần phải được thay thế.	3	Destination B2
12	eɪm	Aim	Mục tiêu, mục đích	Our main aim is to complete the project before the weekend.\nMục tiêu chính của chúng tôi là hoàn thành dự án trước cuối tuần.	3	Destination B2
13	kɔːz	Cause	Nguyên nhân	The heavy rain was the main cause of the flood in the city.\nTrận mưa lớn là nguyên nhân chính gây ra lũ lụt trong thành phố.	3	Destination B2
14	ˈriːzn	Reason	Lý do	Mr.Dog explained the reason why he was late for the meeting.\nMr.Dog đã giải thích lý do tại sao anh ấy đến muộn trong cuộc họp.	3	Destination B2
