STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	ˈvɔɪɪdʒ	voyage	Chuyến đi dài (thường là trên biển hoặc trong vũ trụ)	The ship was badly damaged during the voyage from Plymouth.\nCon tàu bị hư hại nặng trong hải trình từ Plymouth.	1	Destination B2
2	ˈdʒɜːni	journey	Hành trình từ nơi này đến nơi khác	It was a long journey by train.\nĐó là một hành trình dài bằng tàu hỏa.	1	Destination B2
3	trɪp	trip	Chuyến đi ngắn (thường để du lịch hoặc công việc)	We went on a business trip.\nChúng tôi đã đi công tác.	1	Destination B2
4	ˈtrævəl	travel	Sự đi lại; du lịch	I love to travel abroad.\nTôi thích đi du lịch nước ngoài.	1	Destination B2
5	ɪkˈskɜːʃn	excursion	Chuyến đi ngắn mang tính tham quan	The students took an excursion to the museum.\nHọc sinh có một chuyến tham quan thực tế tại bảo tàng.	1	Destination B2
6	vjuː	view	Cảnh nhìn thấy từ một nơi	This room has a sea view.\nCăn phòng này nhìn ra biển.	1	Destination B2
7	saɪt	sight	Cảnh đẹp; điểm tham quan	We visited many famous sights.\nChúng tôi đã tham quan nhiều danh lam thắng cảnh.	1	Destination B2
8	wɜːld	world	Thế giới	The world is changing fast.\nThế giới đang thay đổi nhanh chóng.	1	Destination B2
9	ɜːθ	earth	Trái Đất	The earth moves around the sun.\nTrái Đất quay quanh Mặt Trời.	1	Destination B2
10	ˈeəriə	area	Khu vực; vùng	This area is very crowded.\nKhu vực này rất đông đúc.	1	Destination B2
11	ˈterətri	territory	Lãnh thổ; địa hạt	The island is French territory.\nHòn đảo này thuộc lãnh thổ của Pháp.	1	Destination B2
12	ˈsiːzn	season	Mùa trong năm	Summer is my favorite season.\nMùa hè là mùa tôi thích nhất.	1	Destination B2
13	ˈpɪəriəd	period	Giai đoạn; thời kỳ	He lived there for a short period.\nAnh ấy đã sống ở đó một thời gian ngắn.	1	Destination B2
14	feə	fare	Giá vé (tàu xe)	The bus fare is cheap.\nGiá vé xe buýt rất rẻ.	1	Destination B2
15	ˈtɪkɪt	ticket	Vé	The ticket costs $10.\nVé có giá 10 đô la.	1	Destination B2
